time,AP,ARR,ARW,G,OP,ORR,ORW
6937.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
6934.0,1000.03,993.71,997.19,999.92,999.81,999.12,1000.59
6933.0,991.61,989.56,987.57,999.9,999.53,998.71,999.69
6930.0,994.43,960.86,986.28,999.82,999.79,998.09,1000.25
6927.0,994.46,976.19,990.47,999.74,999.6,996.63,999.91
6926.0,1011.09,989.51,992.71,999.72,997.48,998.05,1001.13
6925.0,1025.1,1003.77,999.9,999.69,996.26,997.19,1001.32
6924.0,1016.56,1011.11,995.51,999.67,996.61,995.4,1001.44
6923.0,1006.91,1013.98,999.99,999.64,995.31,993.89,1001.77
6920.0,1016.25,1027.41,1003.77,999.56,995.25,993.23,1001.11
6919.0,1019.0,1042.51,1016.41,999.54,994.22,991.68,1000.96
6918.0,1003.8,1043.12,1010.24,999.51,993.28,991.88,997.51
6917.0,985.58,1033.03,997.07,999.49,991.71,992.92,994.77
6916.0,992.82,1032.15,995.2,999.46,990.88,993.9,994.36
6913.0,1005.86,1038.08,1012.47,999.38,990.09,991.93,995.31
6912.0,1009.96,1050.17,1010.21,999.36,991.43,991.85,992.25
6911.0,1031.29,1058.46,1031.5,999.33,989.61,989.52,992.75
6910.0,1028.67,1062.38,1042.9,999.3,989.77,989.33,992.77
6909.0,1022.44,1085.85,1045.32,999.28,990.22,985.78,993.49
6906.0,1006.28,1073.92,1024.77,999.2,990.11,984.41,987.1
6905.0,1010.02,1070.78,1027.86,999.18,987.79,984.17,985.62
6904.0,996.72,1068.25,1021.95,999.15,985.54,982.66,980.16
6903.0,982.23,1054.13,1011.2,999.12,985.62,982.86,977.27
6902.0,977.48,1053.69,1007.86,999.1,985.32,982.57,980.05
6899.0,982.92,1042.22,1000.97,999.02,985.53,982.62,982.25
6898.0,985.73,1046.45,1007.31,999.0,983.4,981.66,983.13
6897.0,978.2,1046.7,1006.38,998.97,984.19,981.37,983.14
6896.0,956.85,1042.95,1004.07,998.94,984.42,980.91,981.6
