date,IR_EA19,IR_JPN,IR_POL,IR_USA
1999-12-15,1.03446,1,1.195,1.0605
2000-01-15,1.033431,1,1.1734,1.0595
2000-02-15,1.035368,1,1.1859,1.0601
2000-03-15,1.03747,1,1.183,1.0614
2000-04-15,1.039253,1,1.1852,1.0628
2000-05-15,1.04362,1,1.1842,1.0671
2000-06-15,1.045017,1,1.186,1.0673
2000-07-15,1.045829,1,1.1854,1.0667
2000-08-15,1.047771,1,1.1963,1.0661
2000-09-15,1.048528,1,1.1951,1.066
2000-10-15,1.050413,1,1.1982,1.0667
2000-11-15,1.05092,1,1.1978,1.0665
2000-12-15,1.049392,1,1.1945,1.0645
2001-01-15,1.047707,1,1.1886,1.0562
2001-02-15,1.047558,1,1.1829,1.0526
2001-03-15,1.047086,1,1.1737,1.0489
2001-04-15,1.04682,1,1.1715,1.0453
2001-05-15,1.046367,1,1.1716,1.0402
2001-06-15,1.044536,1,1.1609,1.0374
2001-07-15,1.044671,1,1.1549,1.0366
2001-08-15,1.043535,1,1.1542,1.0348
2001-09-15,1.039829,1,1.1456,1.0287
2001-10-15,1.035999,1,1.1384,1.0231
2001-11-15,1.033857,1,1.1245,1.0203
2001-12-15,1.033449,1,1.1191,1.0183
2002-01-15,1.033388,1,1.1064,1.0174
2002-02-15,1.033571,1,1.1022,1.0182
2002-03-15,1.033908,1,1.1034,1.0191
2002-04-15,1.034069,1.001,1.101,1.0187
2002-05-15,1.034671,1.0008,1.096,1.0182
2002-06-15,1.03464,1.0009,1.0897,1.0181
2002-07-15,1.0341,1.0009,1.0869,1.0179
2002-08-15,1.033519,1.0007,1.0833,1.0173
2002-09-15,1.033101,1.0008,1.0773,1.0176
2002-10-15,1.032613,1.0008,1.0702,1.0173
2002-11-15,1.031241,1.0008,1.0676,1.0139
2002-12-15,1.02941,1.001,1.0687,1.0134
2003-01-15,1.028318,1.001,1.0647,1.0129
2003-02-15,1.026875,1.0009,1.0627,1.0127
2003-03-15,1.0253,1.0008,1.0598,1.0123
2003-04-15,1.025333,1.0008,1.0591,1.0124
2003-05-15,1.024005,1.0008,1.054,1.0122
2003-06-15,1.021519,1.0009,1.0532,1.0104
2003-07-15,1.0213,1.0009,1.0524,1.0105
2003-08-15,1.021404,1.0009,1.0514,1.0108
2003-09-15,1.021473,1.0009,1.0524,1.0108
2003-10-15,1.021436,1.0009,1.0586,1.011
2003-11-15,1.02159,1.0008,1.0583,1.0111
2003-12-15,1.021463,1.001,1.056,1.011
2004-01-15,1.020895,1.0009,1.0546,1.0106
2004-02-15,1.020705,1.0009,1.055,1.0105
2004-03-15,1.020288,1.0008,1.0549,1.0105
2004-04-15,1.020488,1.0008,1.0585,1.0108
2004-05-15,1.020859,1.0008,1.06,1.012
2004-06-15,1.021127,1.0009,1.0605,1.0146
2004-07-15,1.02116,1.0009,1.0641,1.0157
2004-08-15,1.021143,1.0009,1.07,1.0168
2004-09-15,1.021186,1.0009,1.0691,1.0186
2004-10-15,1.021473,1.0009,1.0684,1.0204
2004-11-15,1.021703,1.0009,1.0677,1.0226
2004-12-15,1.021732,1.001,1.0664,1.0245
2005-01-15,1.021454,1.001,1.0661,1.0261
2005-02-15,1.021383,1.001,1.0631,1.0277
2005-03-15,1.021372,1.0008,1.0591,1.0297
2005-04-15,1.021372,1.0008,1.0559,1.0309
2005-05-15,1.021256,1.0008,1.0544,1.0322
2005-06-15,1.02111,1.0009,1.049,1.0338
2005-07-15,1.021194,1.0009,1.0467,1.0357
2005-08-15,1.021325,1.0009,1.046,1.0377
2005-09-15,1.021391,1.0009,1.045,1.0387
2005-10-15,1.021966,1.0009,1.0462,1.0413
2005-11-15,1.023609,1.0009,1.0463,1.0431
2005-12-15,1.024729,1.001,1.046,1.0445
2006-01-15,1.025117,1.001036,1.044,1.0456
2006-02-15,1.026004,1.0011,1.0416,1.0472
2006-03-15,1.027226,1.001255,1.0417,1.0488
2006-04-15,1.027938,1.0014,1.0413,1.0503
2006-05-15,1.02889,1.0027,1.0415,1.0515
2006-06-15,1.029857,1.0035,1.0421,1.0535
2006-07-15,1.031022,1.0044,1.0418,1.0546
2006-08-15,1.032265,1.00432,1.0419,1.0538
2006-09-15,1.033354,1.00436,1.0422,1.0534
2006-10-15,1.03502,1.00447,1.042,1.0533
2006-11-15,1.035972,1.00502,1.042,1.0532
2006-12-15,1.036842,1.0054,1.042,1.0532
2007-01-15,1.037519,1.0054,1.0419,1.0532
2007-02-15,1.038182,1.0066,1.0422,1.0531
2007-03-15,1.038909,1.0066,1.0424,1.053
2007-04-15,1.039753,1.0065,1.044,1.0531
2007-05-15,1.040714,1.0067,1.0444,1.0531
2007-06-15,1.041478,1.0073,1.04445,1.0533
2007-07-15,1.042162,1.0077,1.0481,1.0532
2007-08-15,1.045436,1.0084,1.0503,1.0549
2007-09-15,1.047417,1.0085,1.0501,1.0546
2007-10-15,1.046874,1.0085,1.0521,1.0508
2007-11-15,1.046385,1.0087,1.0556,1.0497
2007-12-15,1.048484,1.0086,1.0568,1.0502
2008-01-15,1.044815,1.0085,1.0565,1.0384
2008-02-15,1.043621,1.0085,1.0594,1.0306
2008-03-15,1.045964,1.0084,1.0615,1.0279
2008-04-15,1.047835,1.0084,1.0634,1.0285
2008-05-15,1.048574,1.0084,1.0648,1.0266
2008-06-15,1.049405,1.0086,1.0665,1.0276
2008-07-15,1.04961,1.0085,1.0656,1.0279
2008-08-15,1.049652,1.0085,1.065,1.0279
2008-09-15,1.050192,1.0087,1.0663,1.0359
2008-10-15,1.051131,1.0089,1.0685,1.0432
2008-11-15,1.042383,1.0088,1.0656,1.0236
2008-12-15,1.032926,1.0074,1.0588,1.0177
2009-01-15,1.024565,1.0072,1.0486,1.0102
2009-02-15,1.019431,1.0071,1.0451,1.0116
2009-03-15,1.016355,1.0065,1.0417,1.0107
2009-04-15,1.014223,1.006,1.043,1.0089
2009-05-15,1.012817,1.0057,1.0462,1.0057
2009-06-15,1.012279,1.0056,1.0444,1.0039
2009-07-15,1.00975,1.0055,1.0417,1.0035
2009-08-15,1.008605,1.0054,1.0418,1.003
2009-09-15,1.007721,1.0054,1.0418,1.0025
2009-10-15,1.007375,1.0053,1.0418,1.0024
2009-11-15,1.007162,1.0051,1.0419,1.0021
2009-12-15,1.00712,1.0046,1.0427,1.0022
2010-01-15,1.006797,1.0045,1.0419,1.002
2010-02-15,1.006617,1.0044,1.0415,1.0019
2010-03-15,1.00645,1.0043,1.041,1.0023
2010-04-15,1.006447,1.004,1.0386,1.003
2010-05-15,1.006865,1.0039,1.0386,1.0045
2010-06-15,1.007276,1.0038,1.0387,1.0052
2010-07-15,1.008488,1.0037,1.0382,1.0041
2010-08-15,1.008955,1.0036,1.0381,1.0032
2010-09-15,1.008805,1.0036,1.0384,1.0028
2010-10-15,1.009977,1.0034,1.0385,1.0027
2010-11-15,1.01042,1.0034,1.0388,1.0027
2010-12-15,1.010217,1.0034,1.0395,1.003
2011-01-15,1.010172,1.0034,1.0409,1.0029
2011-02-15,1.010867,1.0034,1.0415,1.0028
2011-03-15,1.011755,1.0033615,1.042,1.0028
2011-04-15,1.013212,1.0033286,1.043,1.0023
2011-05-15,1.014251,1.0033214,1.0445,1.0021
2011-06-15,1.014886,1.0033214,1.0469,1.0022
2011-07-15,1.015976,1.0033214,1.0471,1.0024
2011-08-15,1.015521,1.0032857,1.0472,1.0029
2011-09-15,1.015365,1.0032929,1.0476,1.0033
2011-10-15,1.015759,1.0032929,1.0491,1.0037
2011-11-15,1.014847,1.0032929,1.0497,1.0041
2011-12-15,1.014261,1.0032929,1.0499,1.0049
2012-01-15,1.012222,1.0033077,1.0499,1.004
2012-02-15,1.010483,1.0033167,1.049747,1.003
2012-03-15,1.008585,1.0033167,1.0494,1.0029
2012-04-15,1.007443,1.0033167,1.0495,1.0029
2012-05-15,1.006849,1.0033167,1.0511,1.0029
2012-06-15,1.006589,1.0033455,1.0513,1.0032
2012-07-15,1.00497,1.0032727,1.0511,1.003
2012-08-15,1.003324,1.0032727,1.0504,1.0026
2012-09-15,1.002463,1.0032727,1.0492,1.0024
2012-10-15,1.002079,1.0032636,1.0473,1.0023
2012-11-15,1.00192,1.0031818,1.0449,1.0023
2012-12-15,1.001855,1.0030818,1.0411,1.0024
2013-01-15,1.002049,1.0029182,1.0395,1.0023
2013-02-15,1.002234,1.0026909,1.0373,1.0022
2013-03-15,1.002061,1.0025,1.0339,1.0021
2013-04-15,1.002089,1.0022818,1.0308,1.002
2013-05-15,1.002012,1.0022818,1.0274,1.002
2013-06-15,1.002103,1.0022818,1.0273,1.0019
2013-07-15,1.002214,1.00228,1.027,1.0014
2013-08-15,1.002259,1.00228,1.027,1.0012
2013-09-15,1.002232,1.00228,1.0267,1.0011
2013-10-15,1.002258,1.00221,1.0266,1.0012
2013-11-15,1.002234,1.0022,1.0265,1.0012
2013-12-15,1.002735,1.0022,1.0271,1.0014
2014-01-15,1.00292,1.0022,1.0271,1.0012
2014-02-15,1.002881,1.00212,1.0271,1.0013
2014-03-15,1.003053,1.00212,1.0271,1.0012
2014-04-15,1.003297,1.00212,1.0272,1.0012
2014-05-15,1.003246,1.0021,1.0272,1.0011
2014-06-15,1.002414,1.0021,1.0268,1.0011
2014-07-15,1.00205,1.0021,1.0267,1.0013
2014-08-15,1.001916,1.0021,1.0259,1.0013
2014-09-15,1.000971,1.0021,1.0228,1.0012
2014-10-15,1.000826,1.00192,1.0196,1.0012
2014-11-15,1.000809,1.00182,1.0206,1.0013
2014-12-15,1.000809,1.00179,1.0206,1.0015
2015-01-15,1.000627,1.00173,1.02,1.0016
2015-02-15,1.000482,1.00171,1.0181,1.0015
2015-03-15,1.000272,1.0017,1.0165,1.0014
2015-04-15,1.000047,1.0017,1.0165,1.0013
2015-05-15,0.999896,1.00169,1.0168,1.0015
2015-06-15,0.999861,1.00169,1.0172,1.0018
2015-07-15,0.999813,1.00169,1.0172,1.0019
2015-08-15,0.999723,1.00169,1.0172,1.0026
2015-09-15,0.99963,1.00169,1.0173,1.0027
2015-10-15,0.999464,1.00169,1.0173,1.0025
2015-11-15,0.999124,1.00169,1.0173,1.003
2015-12-15,0.998737,1.00169,1.0172,1.0054
2016-01-15,0.998539,1.00169,1.017,1.0057
2016-02-15,0.998164,1.00098,1.0168,1.0054
2016-03-15,0.997715,1.00098,1.0167,1.0055
2016-04-15,0.997508,1.0006,1.0167,1.0055
2016-05-15,0.997428,1.0006,1.0168,1.0057
2016-06-15,0.997321,1.00059,1.0171,1.0055
2016-07-15,0.997055,1.00058,1.0171,1.0062
2016-08-15,0.997018,1.00058,1.0171,1.0073
2016-09-15,0.996984,1.00056,1.0171,1.0075
2016-10-15,0.99691,1.00056,1.0172,1.0072
2016-11-15,0.996873,1.00056,1.0173,1.0071
2016-12-15,0.996842,1.00056,1.0173,1.0087
2017-01-15,0.996745,1.00056,1.0173,1.009
2017-02-15,0.996714,1.00056,1.0173,1.0087
2017-03-15,0.996707,1.00056,1.0173,1.0098
2017-04-15,0.996696,1.00056,1.0173,1.0103
2017-05-15,0.996705,1.00056,1.0173,1.0105
2017-06-15,0.9967,1.00056,1.0173,1.0116
2017-07-15,0.996696,1.00075,1.0173,1.0122
2017-08-15,0.996709,1.00056,1.0173,1.0125
2017-09-15,0.996706,1.00056,1.0173,1.0125
2017-10-15,0.996705,1.00063,1.0173,1.0126
2017-11-15,0.99671,1.00063,1.0173,1.0132
2017-12-15,0.996721,1.00063,1.0172,1.0154
2018-01-15,0.996715,1.00068,1.0172,1.0163
2018-02-15,0.996715,1.00068,1.0172,1.0178
2018-03-15,0.996721,1.00097,1.017,1.0208
2018-04-15,0.996715,1.00097,1.017,1.022
2018-05-15,0.996748,1.00078,1.017,1.0216
2018-06-15,0.99678,1.00078,1.017,1.0219
2018-07-15,0.996793,1.00091,1.017,1.0217
2018-08-15,0.99681,1.00091,1.0171,1.0219
2018-09-15,0.996812,1.0005,1.0172,1.0224
2018-10-15,0.996823,1.0005,1.0172,1.0237
2018-11-15,0.996836,1.0005,1.0172,1.0256
2018-12-15,0.996881,1.0005,1.0172,1.0269
