date,NYSE
2018-12-31,11374.39
2018-12-28,11290.95
2018-12-27,11285.31
2018-12-26,11204.09
2018-12-24,10769.83
2018-12-21,11036.84
2018-12-20,11222.79
2018-12-19,11371.84
2018-12-18,11502.16
2018-12-17,11532.12
2018-12-14,11755.38
2018-12-13,11936.16
2018-12-12,11943.29
2018-12-11,11860.65
2018-12-10,11889.29
2018-12-07,11941.93
2018-12-06,12144.41
2018-12-04,12221.98
2018-12-03,12577.54
2018-11-30,12457.55
2018-11-29,12389.37
2018-11-28,12417.63
2018-11-27,12188.07
2018-11-26,12181.6
2018-11-23,12036.24
2018-11-21,12123.34
2018-11-20,12048.66
2018-11-19,12280.91
2018-11-16,12400.28
2018-11-15,12361.52
2018-11-14,12275.49
2018-11-13,12328.3
2018-11-12,12343.51
2018-11-09,12537.53
2018-11-08,12622.04
2018-11-07,12679.1
2018-11-06,12480.06
2018-11-05,12424.31
2018-11-02,12321.8
2018-11-01,12356.5
2018-10-31,12208.06
2018-10-30,12129.94
2018-10-29,11942.51
2018-10-26,11976.95
2018-10-25,12118.85
2018-10-24,11969.74
2018-10-23,12287.44
2018-10-22,12374.76
2018-10-19,12457.27
2018-10-18,12445.48
2018-10-17,12613.05
2018-10-16,12645.95
2018-10-15,12425.68
2018-10-12,12439.42
2018-10-11,12349.53
2018-10-10,12622.13
2018-10-09,12960.45
2018-10-08,13000.14
2018-10-05,12991.95
2018-10-04,13042.3
2018-10-03,13118.55
2018-10-02,13106.01
2018-10-01,13125.35
2018-09-28,13082.52
2018-09-27,13105.72
2018-09-26,13101.96
2018-09-25,13160.6
2018-09-24,13162.05
2018-09-21,13236.44
2018-09-20,13225.11
2018-09-19,13121.97
2018-09-18,13091.98
2018-09-17,13031.91
2018-09-14,13050.52
2018-09-13,13034.61
2018-09-12,12990.1
2018-09-11,12952.3
2018-09-10,12928.67
2018-09-07,12911.12
2018-09-06,12938.91
2018-09-05,12968.55
2018-09-04,12969.86
2018-08-31,13016.89
2018-08-30,13039.93
2018-08-29,13132.16
2018-08-28,13084.8
2018-08-27,13102.03
2018-08-24,12999.44
2018-08-23,12933.46
2018-08-22,12990.51
2018-08-21,12996.76
2018-08-20,12965.1
2018-08-17,12908.26
2018-08-16,12841.28
2018-08-15,12723.09
2018-08-14,12835.31
2018-08-13,12763.66
2018-08-10,12843.49
2018-08-09,12956.66
2018-08-08,12987.91
2018-08-07,12999.59
2018-08-06,12964.27
2018-08-03,12953.34
2018-08-02,12898.07
2018-08-01,12902.39
2018-07-31,12963.28
2018-07-30,12903.43
2018-07-27,12921.34
2018-07-26,12953.39
2018-07-25,12933.63
2018-07-24,12847.49
2018-07-23,12794.05
2018-07-20,12789.91
2018-07-19,12786.48
2018-07-18,12823.23
2018-07-17,12779.22
2018-07-16,12748.78
2018-07-13,12769.5
2018-07-12,12761.46
2018-07-11,12681.59
2018-07-10,12814.64
2018-07-09,12776.92
2018-07-06,12664.88
2018-07-05,12585.21
2018-07-03,12494.7
2018-07-02,12485.58
2018-06-29,12504.25
2018-06-28,12475.98
2018-06-27,12412.07
2018-06-26,12510.55
2018-06-25,12481.6
2018-06-22,12639.57
2018-06-21,12560.23
2018-06-20,12648.74
2018-06-19,12638.98
2018-06-18,12708.63
2018-06-15,12734.64
2018-06-14,12771.95
2018-06-13,12785.45
2018-06-12,12844.71
2018-06-11,12856.96
2018-06-08,12832.07
2018-06-07,12788.5
2018-06-06,12778.23
2018-06-05,12658.7
2018-06-04,12673.91
2018-06-01,12620.83
2018-05-31,12527.14
2018-05-30,12625.87
2018-05-29,12442.69
2018-05-25,12634.94
2018-05-24,12696.69
2018-05-23,12743.4
2018-05-22,12766.65
2018-05-21,12804.01
2018-05-18,12717.42
2018-05-17,12747.83
2018-05-16,12743.8
2018-05-15,12704.63
2018-05-14,12772.03
2018-05-11,12761.82
2018-05-10,12731.64
2018-05-09,12632.49
2018-05-08,12520.24
2018-05-07,12519.75
2018-05-04,12493.35
2018-05-03,12392.5
2018-05-02,12418.07
2018-05-01,12493.02
2018-04-30,12515.36
2018-04-27,12594.02
2018-04-26,12582.9
2018-04-25,12517.86
2018-04-24,12514.0
2018-04-23,12610.77
2018-04-20,12607.16
2018-04-19,12671.48
2018-04-18,12732.85
2018-04-17,12705.76
2018-04-16,12628.21
2018-04-13,12546.05
2018-04-12,12580.22
2018-04-11,12514.59
2018-04-10,12565.97
2018-04-09,12380.55
2018-04-06,12349.11
2018-04-05,12571.94
2018-04-04,12466.45
2018-04-03,12367.07
2018-04-02,12216.71
2018-03-29,12452.06
2018-03-28,12308.9
2018-03-27,12302.54
2018-03-26,12433.15
2018-03-23,12177.7
2018-03-22,12377.39
2018-03-21,12683.76
2018-03-20,12663.64
2018-03-19,12651.46
2018-03-16,12784.39
2018-03-15,12743.61
2018-03-14,12762.67
2018-03-13,12831.75
2018-03-12,12898.4
2018-03-09,12918.82
2018-03-08,12745.01
2018-03-07,12707.01
2018-03-06,12720.77
2018-03-05,12680.73
2018-03-02,12557.99
2018-03-01,12518.73
2018-02-28,12652.55
2018-02-27,12819.22
2018-02-26,12999.62
2018-02-23,12884.11
2018-02-22,12711.75
2018-02-21,12695.52
2018-02-20,12763.34
2018-02-16,12874.36
2018-02-15,12856.87
2018-02-14,12746.72
2018-02-13,12574.37
2018-02-12,12560.12
2018-02-09,12405.82
2018-02-08,12270.65
2018-02-07,12687.18
2018-02-06,12745.45
2018-02-05,12572.93
2018-02-02,13085.35
2018-02-01,13381.97
2018-01-31,13367.96
2018-01-30,13375.51
2018-01-29,13524.65
2018-01-26,13637.02
2018-01-25,13512.66
2018-01-24,13507.66
2018-01-23,13474.11
2018-01-22,13470.37
2018-01-19,13384.46
2018-01-18,13315.91
2018-01-17,13352.39
2018-01-16,13246.86
2018-01-12,13294.34
2018-01-11,13210.77
2018-01-10,13106.6
2018-01-09,13120.84
2018-01-08,13114.35
2018-01-05,13103.23
2018-01-04,13028.46
2018-01-03,12957.28
2018-01-02,12902.72
2017-12-29,12808.84
2017-12-28,12853.09
2017-12-27,12821.98
2017-12-26,12808.9
2017-12-22,12797.44
2017-12-21,12800.21
2017-12-20,12747.55
2017-12-19,12747.54
2017-12-18,12785.82
2017-12-15,12699.68
2017-12-14,12629.07
2017-12-13,12699.48
2017-12-12,12697.78
2017-12-11,12668.22
2017-12-08,12643.06
2017-12-07,12568.98
2017-12-06,12532.43
2017-12-05,12567.16
2017-12-04,12634.89
2017-12-01,12614.56
2017-11-30,12627.8
2017-11-29,12561.32
2017-11-28,12520.23
2017-11-27,12390.78
2017-11-24,12421.93
2017-11-22,12390.82
2017-11-21,12385.88
2017-11-20,12320.77
2017-11-17,12302.89
2017-11-16,12303.28
2017-11-15,12220.34
2017-11-14,12280.11
2017-11-13,12316.82
2017-11-10,12322.6
2017-11-09,12339.66
2017-11-08,12384.72
2017-11-07,12371.25
2017-11-06,12400.93
2017-11-03,12373.06
2017-11-02,12372.96
2017-11-01,12362.88
2017-10-31,12341.01
2017-10-30,12319.47
2017-10-27,12366.43
2017-10-26,12352.43
2017-10-25,12336.58
2017-10-24,12404.99
2017-10-23,12384.42
2017-10-20,12430.52
2017-10-19,12380.32
2017-10-18,12371.02
2017-10-17,12349.97
2017-10-16,12359.52
2017-10-13,12352.0
2017-10-12,12338.74
2017-10-11,12362.06
2017-10-10,12346.59
2017-10-09,12293.95
2017-10-06,12317.69
2017-10-05,12338.93
2017-10-04,12304.67
2017-10-03,12302.88
2017-10-02,12264.66
2017-09-29,12209.16
2017-09-28,12179.31
2017-09-27,12157.65
2017-09-26,12127.92
2017-09-25,12141.56
2017-09-22,12151.8
2017-09-21,12133.62
2017-09-20,12147.5
2017-09-19,12131.73
2017-09-18,12111.45
2017-09-15,12080.14
2017-09-14,12062.62
2017-09-13,12055.18
2017-09-12,12057.12
2017-09-11,12010.27
2017-09-08,11887.98
2017-09-07,11879.61
2017-09-06,11872.92
2017-09-05,11827.15
2017-09-01,11918.08
2017-08-31,11875.69
2017-08-30,11805.07
2017-08-29,11791.88
2017-08-28,11800.22
2017-08-25,11812.03
2017-08-24,11773.8
2017-08-23,11785.92
2017-08-22,11805.29
2017-08-21,11719.27
2017-08-18,11699.83
2017-08-17,11712.72
2017-08-16,11868.85
2017-08-15,11843.48
2017-08-14,11856.06
2017-08-11,11763.21
2017-08-10,11771.6
2017-08-09,11929.46
2017-08-08,11949.97
2017-08-07,11987.77
2017-08-04,11984.89
2017-08-03,11956.52
2017-08-02,11979.37
2017-08-01,12000.02
2017-07-31,11967.67
2017-07-28,11954.69
2017-07-27,11963.23
2017-07-26,11964.91
2017-07-25,11965.72
2017-07-24,11904.71
2017-07-21,11924.6
2017-07-20,11944.49
2017-07-19,11941.34
2017-07-18,11877.42
2017-07-17,11890.51
2017-07-14,11897.31
2017-07-13,11844.62
2017-07-12,11825.9
2017-07-11,11744.77
2017-07-10,11751.79
2017-07-07,11752.98
2017-07-06,11702.43
2017-07-05,11809.49
2017-07-03,11835.72
2017-06-30,11761.7
2017-06-29,11739.98
2017-06-28,11812.8
2017-06-27,11716.92
2017-06-26,11758.86
2017-06-23,11733.2
2017-06-22,11712.52
2017-06-21,11696.28
2017-06-20,11738.95
2017-06-19,11833.34
2017-06-16,11772.02
2017-06-15,11740.52
2017-06-14,11779.81
2017-06-13,11796.79
2017-06-12,11746.46
2017-06-09,11744.73
2017-06-08,11678.95
2017-06-07,11667.73
2017-06-06,11671.46
2017-06-05,11693.68
2017-06-02,11718.7
2017-06-01,11699.79
2017-05-31,11598.03
2017-05-30,11601.31
2017-05-26,11631.87
2017-05-25,11639.3
2017-05-24,11621.23
2017-05-23,11604.62
2017-05-22,11585.21
2017-05-19,11542.69
2017-05-18,11434.06
2017-05-17,11423.53
2017-05-16,11606.49
2017-05-15,11614.23
2017-05-12,11547.05
2017-05-11,11563.6
2017-05-10,11598.99
2017-05-09,11567.52
2017-05-08,11595.26
2017-05-05,11615.61
2017-05-04,11534.71
2017-05-03,11529.66
2017-05-02,11551.3
2017-05-01,11536.49
2017-04-28,11536.08
2017-04-27,11578.52
2017-04-26,11592.91
2017-04-25,11603.28
2017-04-24,11531.79
2017-04-21,11389.13
2017-04-20,11426.91
2017-04-19,11342.42
2017-04-18,11378.58
2017-04-17,11427.08
2017-04-13,11324.53
2017-04-12,11423.17
2017-04-11,11473.62
2017-04-10,11464.34
2017-04-07,11445.58
2017-04-06,11457.29
2017-04-05,11423.36
2017-04-04,11470.53
2017-04-03,11463.91
2017-03-31,11492.85
2017-03-30,11519.84
2017-03-29,11496.67
2017-03-28,11493.84
2017-03-27,11414.33
2017-03-24,11418.89
2017-03-23,11430.89
2017-03-22,11426.69
2017-03-21,11420.43
2017-03-20,11556.93
2017-03-17,11589.01
2017-03-16,11600.23
2017-03-15,11590.31
2017-03-14,11459.29
2017-03-13,11519.44
2017-03-10,11500.76
2017-03-09,11457.64
2017-03-08,11448.21
2017-03-07,11506.32
2017-03-06,11547.79
2017-03-03,11598.37
2017-03-02,11575.91
2017-03-01,11661.22
2017-02-28,11512.39
2017-02-27,11558.35
2017-02-24,11541.29
2017-02-23,11556.15
2017-02-22,11550.18
2017-02-21,11578.25
2017-02-17,11510.91
2017-02-16,11504.19
2017-02-15,11514.4
2017-02-14,11468.87
2017-02-13,11433.93
2017-02-10,11377.72
2017-02-09,11327.68
2017-02-08,11251.8
2017-02-07,11243.38
2017-02-06,11264.11
2017-02-03,11310.74
2017-02-02,11215.39
2017-02-01,11207.24
2017-01-31,11222.96
2017-01-30,11205.24
2017-01-27,11283.19
2017-01-26,11313.12
2017-01-25,11339.05
2017-01-24,11249.28
2017-01-23,11170.62
2017-01-20,11192.79
2017-01-19,11148.85
2017-01-18,11196.1
2017-01-17,11196.29
2017-01-13,11227.17
2017-01-12,11204.15
2017-01-11,11226.78
2017-01-10,11183.33
2017-01-09,11169.79
2017-01-06,11237.62
2017-01-05,11247.69
2017-01-04,11246.54
2017-01-03,11154.35
2016-12-30,11056.89
2016-12-29,11074.33
2016-12-28,11058.88
2016-12-27,11146.4
2016-12-23,11128.8
2016-12-22,11114.14
2016-12-21,11142.57
2016-12-20,11172.19
2016-12-19,11128.54
2016-12-16,11125.22
2016-12-15,11131.89
2016-12-14,11098.67
2016-12-13,11237.17
2016-12-12,11177.28
2016-12-09,11191.79
2016-12-08,11149.96
2016-12-07,11114.61
2016-12-06,10970.78
2016-12-05,10910.9
2016-12-02,10838.58
2016-12-01,10828.99
2016-11-30,10838.46
2016-11-29,10817.7
2016-11-28,10808.63
2016-11-25,10878.09
2016-11-23,10835.9
2016-11-22,10820.18
2016-11-21,10791.84
2016-11-18,10709.51
2016-11-17,10740.08
2016-11-16,10699.43
2016-11-15,10745.51
