date,UMPL_EA19,UMPL_JPN,UMPL_OECD,UMPL_POL,UMPL_USA
1999-07-15,9.8,4.8,6.687822,13.5,4.3
1999-08-15,9.7,4.7,6.616466,13.8,4.2
1999-09-15,9.6,4.6,6.579609,14.2,4.2
1999-10-15,9.6,4.6,6.522087,14.5,4.1
1999-11-15,9.5,4.6,6.4538269999999995,14.8,4.1
1999-12-15,9.4,4.7,6.4366959999999995,15.1,4.0
2000-01-15,9.4,4.7,6.379080999999999,15.5,4.0
2000-02-15,9.3,4.9,6.3906410000000005,15.8,4.1
2000-03-15,9.2,4.9,6.333387999999999,16.1,4.0
2000-04-15,9.1,4.8,6.213278,16.2,3.8
2000-05-15,9.0,4.6,6.2216,16.3,4.0
2000-06-15,8.9,4.7,6.169049,16.1,4.0
2000-07-15,8.8,4.7,6.13593,16.0,4.0
2000-08-15,8.8,4.6,6.154949,15.9,4.1
2000-09-15,8.7,4.7,6.098458,16.0,3.9
2000-10-15,8.6,4.7,6.024032,16.2,3.9
2000-11-15,8.5,4.7,6.040430000000001,16.5,3.9
2000-12-15,8.4,4.8,6.025249,16.8,3.9
2001-01-15,8.3,4.8,6.1454,17.1,4.2
2001-02-15,8.3,4.7,6.161237,17.4,4.2
2001-03-15,8.3,4.8,6.157006,17.7,4.3
2001-04-15,8.3,4.8,6.186483,18.1,4.4
2001-05-15,8.3,4.9,6.209116000000001,18.4,4.3
2001-06-15,8.3,5.0,6.268229,18.5,4.5
2001-07-15,8.3,5.0,6.354374,18.4,4.6
2001-08-15,8.3,5.1,6.454244999999999,18.4,4.9
2001-09-15,8.3,5.3,6.492808999999999,18.6,5.0
2001-10-15,8.3,5.3,6.679997,18.8,5.3
2001-11-15,8.4,5.4,6.755757000000001,19.1,5.5
2001-12-15,8.4,5.4,6.837184,19.2,5.7
2002-01-15,8.4,5.2,6.823492,19.4,5.7
2002-02-15,8.5,5.3,6.836099000000001,19.4,5.7
2002-03-15,8.5,5.3,6.844407,19.6,5.7
2002-04-15,8.6,5.3,6.914741,19.9,5.9
2002-05-15,8.6,5.4,6.88403,19.8,5.8
2002-06-15,8.6,5.5,6.907519000000001,20.2,5.8
2002-07-15,8.6,5.4,6.936462,20.4,5.8
2002-08-15,8.7,5.5,6.952991,20.5,5.7
2002-09-15,8.7,5.4,6.942472,20.5,5.7
2002-10-15,8.8,5.4,6.954869,20.4,5.7
2002-11-15,8.8,5.2,6.985452,20.3,5.9
2002-12-15,8.8,5.4,7.014836999999999,20.1,6.0
2003-01-15,9.0,5.4,7.029788000000001,19.9,5.8
2003-02-15,9.0,5.2,7.010743,19.8,5.9
2003-03-15,9.0,5.4,7.039121000000001,19.6,5.9
2003-04-15,9.0,5.5,7.08356,19.5,6.0
2003-05-15,9.0,5.4,7.124061,19.5,6.1
2003-06-15,9.1,5.4,7.186666000000001,19.7,6.3
2003-07-15,9.1,5.2,7.114099,19.9,6.2
2003-08-15,9.1,5.1,7.082974,20.0,6.1
2003-09-15,9.1,5.2,7.092927,19.9,6.1
2003-10-15,9.1,5.1,7.0270529999999995,19.8,6.0
2003-11-15,9.1,5.1,6.9997679999999995,19.7,5.8
2003-12-15,9.1,4.9,6.939197,19.8,5.7
2004-01-15,9.2,4.9,7.029234,20.0,5.7
2004-02-15,9.2,5.0,7.015314999999999,19.9,5.6
2004-03-15,9.3,4.8,7.052094,19.8,5.8
2004-04-15,9.3,4.8,6.9563880000000005,19.5,5.6
2004-05-15,9.3,4.7,6.942962,19.3,5.6
2004-06-15,9.2,4.7,6.938756,19.2,5.6
2004-07-15,9.2,4.9,6.9175830000000005,19.0,5.5
2004-08-15,9.2,4.8,6.887511999999999,18.9,5.4
2004-09-15,9.3,4.6,6.8628029999999995,18.7,5.4
2004-10-15,9.3,4.6,6.854199,18.6,5.5
2004-11-15,9.3,4.5,6.821281,18.4,5.4
2004-12-15,9.2,4.5,6.795577000000001,18.3,5.4
2005-01-15,9.2,4.5,6.70487,18.1,5.3
2005-02-15,9.2,4.6,6.737755,18.2,5.4
2005-03-15,9.2,4.5,6.688385,18.3,5.2
2005-04-15,9.2,4.5,6.7100729999999995,18.4,5.2
2005-05-15,9.2,4.5,6.694039999999999,18.4,5.1
2005-06-15,9.2,4.3,6.645144999999999,18.4,5.0
2005-07-15,9.1,4.4,6.5905830000000005,18.2,5.0
2005-08-15,9.0,4.3,6.511551,18.0,4.9
2005-09-15,9.0,4.2,6.558461,17.8,5.0
2005-10-15,9.0,4.4,6.568909,17.5,5.0
2005-11-15,8.9,4.5,6.511518,17.1,5.0
2005-12-15,8.9,4.4,6.422072,16.6,4.9
2006-01-15,8.8,4.4,6.336645,16.0,4.7
2006-02-15,8.8,4.1,6.30857,15.4,4.8
2006-03-15,8.7,4.1,6.239202,15.1,4.7
2006-04-15,8.6,4.1,6.192327,14.7,4.7
2006-05-15,8.5,4.1,6.086666999999999,14.4,4.6
2006-06-15,8.4,4.2,6.094511,14.0,4.6
2006-07-15,8.3,4.1,6.081165,13.8,4.7
2006-08-15,8.2,4.1,6.057258,13.5,4.7
2006-09-15,8.2,4.1,5.958883999999999,13.2,4.5
2006-10-15,8.1,4.1,5.879436,12.9,4.4
2006-11-15,8.1,4.0,5.863094,12.4,4.5
2006-12-15,7.9,4.0,5.802341,11.9,4.4
2007-01-15,7.9,4.0,5.818042,11.3,4.6
2007-02-15,7.8,4.0,5.743546,10.7,4.5
2007-03-15,7.7,4.0,5.681886,10.3,4.4
2007-04-15,7.6,3.8,5.618223,10.0,4.5
2007-05-15,7.5,3.8,5.556931,9.7,4.4
2007-06-15,7.5,3.7,5.541125,9.5,4.6
2007-07-15,7.5,3.6,5.591453,9.4,4.7
2007-08-15,7.5,3.7,5.583957,9.3,4.6
2007-09-15,7.4,3.9,5.594632,9.2,4.7
2007-10-15,7.3,4.0,5.598733,8.9,4.7
2007-11-15,7.3,3.8,5.558189,8.7,4.7
2007-12-15,7.3,3.7,5.610505,8.3,5.0
2008-01-15,7.3,3.9,5.602526,7.8,5.0
2008-02-15,7.3,4.0,5.570485,7.5,4.9
2008-03-15,7.3,3.8,5.61174,7.3,5.1
2008-04-15,7.4,3.9,5.579597,7.2,5.0
2008-05-15,7.4,4.0,5.727067,7.2,5.4
2008-06-15,7.5,4.0,5.813682,7.0,5.6
2008-07-15,7.5,3.9,5.91099,6.9,5.8
2008-08-15,7.6,4.1,6.027705999999999,6.8,6.1
2008-09-15,7.7,4.0,6.0845650000000004,6.7,6.1
2008-10-15,7.8,3.8,6.247601,6.6,6.5
2008-11-15,8.0,4.0,6.553081,6.8,6.8
2008-12-15,8.3,4.4,6.864109,7.0,7.3
2009-01-15,8.7,4.3,7.188472999999999,7.4,7.8
2009-02-15,9.0,4.6,7.563876,7.7,8.3
2009-03-15,9.3,4.8,7.843203999999999,7.9,8.7
2009-04-15,9.5,5.0,8.029326,7.9,9.0
2009-05-15,9.6,5.1,8.242633,7.9,9.4
2009-06-15,9.7,5.2,8.295117,8.0,9.5
2009-07-15,9.8,5.5,8.361074,8.2,9.5
2009-08-15,9.9,5.4,8.427925,8.3,9.6
2009-09-15,10.0,5.4,8.491095,8.4,9.8
2009-10-15,10.1,5.2,8.506544,8.4,10.0
2009-11-15,10.1,5.2,8.463445,8.6,9.9
2009-12-15,10.1,5.2,8.448453,9.0,9.9
2010-01-15,10.2,5.0,8.534305,9.9,9.8
2010-02-15,10.2,5.0,8.510836,9.9,9.8
2010-03-15,10.2,5.1,8.489238,9.9,9.9
2010-04-15,10.3,5.1,8.518193,9.7,9.9
2010-05-15,10.3,5.1,8.38412,9.7,9.6
2010-06-15,10.3,5.2,8.284792,9.7,9.4
2010-07-15,10.2,5.0,8.275345,9.6,9.4
2010-08-15,10.2,5.1,8.261134,9.5,9.5
2010-09-15,10.2,5.1,8.27558,9.5,9.5
2010-10-15,10.2,5.1,8.274733,9.5,9.4
2010-11-15,10.1,5.0,8.294064,9.4,9.8
2010-12-15,10.1,4.9,8.163585000000001,9.5,9.3
2011-01-15,10.1,4.8,8.066678,9.4,9.1
2011-02-15,10.0,4.7,7.982167,9.4,9.0
2011-03-15,10.0,4.7,7.938476,9.5,9.0
2011-04-15,10.0,4.7,7.948882000000001,9.6,9.1
2011-05-15,10.0,4.6,7.965235000000001,9.6,9.0
2011-06-15,10.0,4.7,8.005858,9.6,9.1
2011-07-15,10.2,4.7,7.983625,9.7,9.0
2011-08-15,10.2,4.5,7.979278,9.7,9.0
2011-09-15,10.4,4.2,7.999689999999999,9.8,9.0
2011-10-15,10.5,4.4,7.953183,9.9,8.8
2011-11-15,10.6,4.5,7.964352000000001,9.9,8.6
2011-12-15,10.7,4.5,7.944528999999999,9.9,8.5
2012-01-15,10.8,4.5,7.897602,9.9,8.3
2012-02-15,10.9,4.5,7.966892,9.9,8.3
2012-03-15,11.1,4.5,7.9621509999999995,9.9,8.2
2012-04-15,11.2,4.5,7.953614,10.0,8.2
2012-05-15,11.3,4.4,7.970382000000001,10.1,8.2
2012-06-15,11.4,4.3,7.962369,10.2,8.2
2012-07-15,11.5,4.3,7.97555,10.2,8.2
2012-08-15,11.5,4.2,7.9648699999999995,10.3,8.1
2012-09-15,11.6,4.2,7.933503999999999,10.3,7.8
2012-10-15,11.7,4.1,7.978255,10.3,7.8
2012-11-15,11.8,4.1,8.010348,10.3,7.7
2012-12-15,11.9,4.3,8.068662,10.4,7.9
2013-01-15,12.0,4.2,8.152555,10.5,8.0
2013-02-15,12.0,4.3,8.040792999999999,10.6,7.7
2013-03-15,12.0,4.1,8.00596,10.6,7.5
2013-04-15,12.1,4.1,8.021402,10.6,7.6
2013-05-15,12.1,4.1,7.986764999999999,10.6,7.5
2013-06-15,12.1,3.9,7.96305,10.5,7.5
2013-07-15,12.1,3.8,7.878361999999999,10.4,7.3
2013-08-15,12.0,4.1,7.880812,10.3,7.2
2013-09-15,12.0,3.9,7.8507940000000005,10.2,7.2
2013-10-15,12.0,4.0,7.792453,10.0,7.2
2013-11-15,11.9,3.9,7.678944,10.0,6.9
2013-12-15,11.9,3.7,7.592577,10.0,6.7
2014-01-15,11.9,3.7,7.592447,10.0,6.6
2014-02-15,11.9,3.6,7.583971000000001,9.9,6.7
2014-03-15,11.8,3.7,7.593858999999999,9.7,6.7
2014-04-15,11.7,3.6,7.423477,9.5,6.2
2014-05-15,11.7,3.6,7.431067,9.2,6.3
2014-06-15,11.5,3.7,7.336621000000001,9.0,6.1
2014-07-15,11.6,3.7,7.402077,8.8,6.2
2014-08-15,11.5,3.5,7.304167999999999,8.5,6.1
2014-09-15,11.5,3.5,7.254571,8.4,5.9
2014-10-15,11.5,3.6,7.190964,8.3,5.7
2014-11-15,11.5,3.4,7.181800999999999,8.3,5.8
2014-12-15,11.3,3.4,7.017241,8.2,5.6
2015-01-15,11.3,3.6,7.0493559999999995,8.2,5.7
2015-02-15,11.2,3.5,6.974141,8.1,5.5
2015-03-15,11.2,3.4,6.912184,7.9,5.4
2015-04-15,11.1,3.4,6.905892999999999,7.7,5.4
2015-05-15,11.1,3.3,6.937231,7.6,5.6
2015-06-15,11.0,3.4,6.84363,7.5,5.3
2015-07-15,10.8,3.3,6.760333,7.4,5.2
2015-08-15,10.7,3.4,6.674707000000001,7.3,5.1
2015-09-15,10.6,3.4,6.621983999999999,7.2,5.0
