Date,WIG20
2000-01-03,1852.9
2000-01-04,1796.6
2000-01-05,1777
2000-01-06,1832.1
2000-01-07,1933.2
2000-01-10,2000.8
2000-01-11,1974.9
2000-01-12,1961.3
2000-01-13,2032.9
2000-01-14,2010.5
2000-01-17,2027
2000-01-18,1982.6
2000-01-19,1971.9
2000-01-20,1995.2
2000-01-21,2003
2000-01-24,1933.1
2000-01-25,1873.7
2000-01-26,1914.1
2000-01-27,1951.3
2000-01-28,1938.5
2000-01-31,1910.1
2000-02-01,1946.3
2000-02-02,1981.3
2000-02-03,2109
2000-02-04,2096.8
2000-02-07,2142.1
2000-02-08,2205.8
2000-02-09,2198.6
2000-02-10,2170.6
2000-02-11,2132.8
2000-02-14,2146.5
2000-02-15,2155.6
2000-02-16,2157.9
2000-02-17,2221.8
2000-02-18,2264.3
2000-02-21,2242.4
2000-02-22,2333.6
2000-02-23,2344.2
2000-02-24,2426.6
2000-02-25,2327.6
2000-02-28,2268.1
2000-02-29,2341.9
2000-03-01,2391.2
2000-03-02,2358
2000-03-03,2397.4
2000-03-06,2380.1
2000-03-07,2369.1
2000-03-08,2355.7
2000-03-09,2401.2
2000-03-10,2481.8
2000-03-13,2346.1
2000-03-14,2464.8
2000-03-15,2368.2
2000-03-16,2378.4
2000-03-17,2384.1
2000-03-20,2387.9
2000-03-21,2341.5
2000-03-22,2380.7
2000-03-23,2402.3
2000-03-24,2445.7
2000-03-27,2443.7
2000-03-28,2443.1
2000-03-29,2393.9
2000-03-30,2235.9
2000-03-31,2275.5
2000-04-03,2209.9
2000-04-04,2192.1
2000-04-05,2100.4
2000-04-06,2186
2000-04-07,2228.8
2000-04-10,2217.7
2000-04-11,2132.4
2000-04-12,2174.1
2000-04-13,2163.1
2000-04-14,2121
2000-04-17,1963.7
2000-04-18,2005.5
2000-04-19,1993.8
2000-04-20,1982.8
2000-04-25,1951.3
2000-04-26,1975.8
2000-04-27,1980.8
2000-04-28,2042.8
2000-05-04,2008
2000-05-05,1970.4
2000-05-08,1942.8
2000-05-09,1946.3
2000-05-10,1990.5
2000-05-11,2044.5
2000-05-12,2060.7
2000-05-15,2023.9
2000-05-16,2109.8
2000-05-17,2063.1
2000-05-18,2068.2
2000-05-19,2016.8
2000-05-22,1983.7
2000-05-23,1952
2000-05-24,1891.9
2000-05-25,1912.9
2000-05-26,1897.8
2000-05-29,1969.7
2000-05-30,1984.6
2000-05-31,2014.7
2000-06-01,2092.8
2000-06-02,2102.9
2000-06-05,2086.3
2000-06-06,2019.7
2000-06-07,2057.4
2000-06-08,2051.7
2000-06-09,2045.6
2000-06-12,2034
2000-06-13,2016
2000-06-14,2039
2000-06-15,2041.7
2000-06-16,2030.9
2000-06-19,2002
2000-06-20,2040.9
2000-06-21,2036
2000-06-23,2024.6
2000-06-26,2061.6
2000-06-27,2064.9
2000-06-28,2063.7
2000-06-29,2020.5
2000-06-30,1997.7
2000-07-03,2023.1
2000-07-04,2030
2000-07-05,2019.1
2000-07-06,1999.5
2000-07-07,1987.8
2000-07-10,1989.7
2000-07-11,1972.7
2000-07-12,1987.5
2000-07-13,2004.8
2000-07-14,2016.4
2000-07-17,2039.9
2000-07-18,2047
2000-07-19,2064.3
2000-07-20,2061.2
2000-07-21,2061.7
2000-07-24,2069.7
2000-07-25,2046.6
2000-07-26,1993.8
2000-07-27,1966
2000-07-28,1949.3
2000-07-31,1941.1
2000-08-01,1903
2000-08-02,1941.5
2000-08-03,1909.6
2000-08-04,1942.4
2000-08-07,1924.7
2000-08-08,1943.1
2000-08-09,1970.6
2000-08-10,1922.7
2000-08-11,1886
2000-08-14,1892.2
2000-08-16,1912.1
2000-08-17,1855.6
2000-08-18,1837.2
2000-08-21,1822.6
2000-08-22,1837.4
2000-08-23,1852.7
2000-08-24,1879.4
2000-08-25,1898.6
2000-08-28,1876.9
2000-08-29,1873.4
2000-08-30,1889.3
2000-08-31,1911.7
2000-09-01,1952
2000-09-04,1939.7
2000-09-05,1919.5
2000-09-06,1910.9
2000-09-07,1894
2000-09-08,1888.7
2000-09-11,1867.7
2000-09-12,1900.7
2000-09-13,1892.3
2000-09-14,1907.2
2000-09-15,1889.6
2000-09-18,1874.3
2000-09-19,1858.4
2000-09-20,1842.1
2000-09-21,1794.4
2000-09-22,1723.1
2000-09-25,1768.1
2000-09-26,1710.5
2000-09-27,1708.3
2000-09-28,1664
2000-09-29,1688.4
2000-10-02,1700.7
2000-10-03,1667.1
2000-10-04,1643.5
2000-10-05,1668.5
2000-10-06,1658
2000-10-09,1618.6
2000-10-10,1608.7
2000-10-11,1546.7
2000-10-12,1550.3
2000-10-13,1499.1
2000-10-16,1574.8
2000-10-17,1618
2000-10-18,1542.3
2000-10-19,1608.3
2000-10-20,1630
2000-10-23,1625
2000-10-24,1644.4
2000-10-25,1606.2
2000-10-26,1582.8
2000-10-27,1571.2
2000-10-30,1543.9
2000-10-31,1568.8
2000-11-02,1648.3
2000-11-03,1663.6
2000-11-06,1733
2000-11-07,1715.3
2000-11-08,1714.3
2000-11-09,1657
2000-11-10,1630
2000-11-13,1591.1
2000-11-14,1640
2000-11-15,1622.7
2000-11-16,1628.4
2000-11-17,1643.22
2000-11-20,1653.09
2000-11-21,1660.03
2000-11-22,1639.15
2000-11-23,1626.49
2000-11-24,1677.39
2000-11-27,1688.46
2000-11-28,1665.44
2000-11-29,1658.02
2000-11-30,1623.16
2000-12-01,1626.26
2000-12-04,1601.97
2000-12-05,1638.92
2000-12-06,1680.41
2000-12-07,1690.11
2000-12-08,1714.8
2000-12-11,1723.35
2000-12-12,1734.84
2000-12-13,1744.75
2000-12-14,1799.4
2000-12-15,1785.44
2000-12-18,1818.19
2000-12-19,1847.43
2000-12-20,1792.13
2000-12-21,1772.06
2000-12-22,1816.58
2000-12-27,1843.61
2000-12-28,1825.2
2000-12-29,1816.19
2001-01-02,1794.65
2001-01-03,1779.34
2001-01-04,1826.19
2001-01-05,1784.97
2001-01-08,1745.47
2001-01-09,1766.28
2001-01-10,1732.12
2001-01-11,1710.46
2001-01-12,1732.58
2001-01-15,1715.52
2001-01-16,1704.37
2001-01-17,1722.65
2001-01-18,1728.37
2001-01-19,1782.68
2001-01-22,1754.29
2001-01-23,1742.59
2001-01-24,1743.05
2001-01-25,1746.45
2001-01-26,1744.47
2001-01-29,1762.65
2001-01-30,1774.26
2001-01-31,1772.1
2001-02-01,1772
2001-02-02,1775.29
2001-02-05,1712.15
2001-02-06,1716.85
2001-02-07,1667.59
2001-02-08,1671.5
2001-02-09,1647.17
2001-02-12,1625.17
2001-02-13,1661.73
2001-02-14,1639.58
2001-02-15,1676.81
2001-02-16,1623.43
2001-02-19,1604.34
2001-02-20,1591.58
2001-02-21,1553.93
2001-02-22,1528.61
2001-02-23,1522.52
2001-02-26,1545.47
2001-02-27,1497.18
2001-02-28,1490.33
2001-03-01,1437.08
2001-03-02,1445.46
2001-03-05,1474.06
2001-03-06,1496.45
2001-03-07,1484.08
2001-03-08,1469.77
2001-03-09,1413.78
2001-03-12,1344.23
2001-03-13,1352.57
2001-03-14,1331.4
2001-03-15,1377.88
2001-03-16,1371.68
2001-03-19,1377.3
2001-03-20,1401.13
2001-03-21,1390.01
2001-03-22,1372.41
2001-03-23,1389.05
2001-03-26,1388
2001-03-27,1377.55
2001-03-28,1390.44
2001-03-29,1371.31
2001-03-30,1375.89
2001-04-02,1359.42
2001-04-03,1334.66
2001-04-04,1317.33
2001-04-05,1347.36
2001-04-06,1367.18
2001-04-09,1390.49
2001-04-10,1421.18
2001-04-11,1450.72
2001-04-12,1450.76
2001-04-17,1407.67
2001-04-18,1477.29
2001-04-19,1499.57
2001-04-20,1498.95
2001-04-23,1475.7
2001-04-24,1466.62
2001-04-25,1467.61
2001-04-26,1483.16
2001-04-27,1472.13
2001-04-30,1441.03
2001-05-02,1438.14
2001-05-04,1422.71
2001-05-07,1414.58
2001-05-08,1392.76
2001-05-09,1362.92
2001-05-10,1403.7
2001-05-11,1416.04
2001-05-14,1433.13
2001-05-15,1407.47
2001-05-16,1379.64
2001-05-17,1394.52
2001-05-18,1400.08
2001-05-21,1445.66
2001-05-22,1489.34
2001-05-23,1485.1
2001-05-24,1494.38
2001-05-25,1476.2
2001-05-28,1473.42
2001-05-29,1472.98
2001-05-30,1455.52
2001-05-31,1467.89
2001-06-01,1461.81
2001-06-04,1425.03
2001-06-05,1440.18
2001-06-06,1411.16
2001-06-07,1378.83
2001-06-08,1347.22
2001-06-11,1318.7
2001-06-12,1330.86
2001-06-13,1333.87
2001-06-15,1298.58
2001-06-18,1283.88
