Date,NYSE
12/31/18,11374.39
12/28/18,11290.95
12/27/18,11285.31
12/26/18,11204.09
12/24/18,10769.83
12/21/18,11036.84
12/20/18,11222.79
12/19/18,11371.84
12/18/18,11502.16
12/17/18,11532.12
12/14/18,11755.38
12/13/18,11936.16
12/12/18,11943.29
12/11/18,11860.65
12/10/18,11889.29
12/07/18,11941.93
12/06/18,12144.41
12/04/18,12221.98
12/03/18,12577.54
11/30/18,12457.55
11/29/18,12389.37
11/28/18,12417.63
11/27/18,12188.07
11/26/18,12181.6
11/23/18,12036.24
11/21/18,12123.34
11/20/18,12048.66
11/19/18,12280.91
11/16/18,12400.28
11/15/18,12361.52
11/14/18,12275.49
11/13/18,12328.3
11/12/18,12343.51
11/09/18,12537.53
11/08/18,12622.04
11/07/18,12679.1
11/06/18,12480.06
11/05/18,12424.31
11/02/18,12321.8
11/01/18,12356.5
10/31/18,12208.06
10/30/18,12129.94
10/29/18,11942.51
10/26/18,11976.95
10/25/18,12118.85
10/24/18,11969.74
10/23/18,12287.44
10/22/18,12374.76
10/19/18,12457.27
10/18/18,12445.48
10/17/18,12613.05
10/16/18,12645.95
10/15/18,12425.68
10/12/18,12439.42
10/11/18,12349.53
10/10/18,12622.13
10/09/18,12960.45
10/08/18,13000.14
10/05/18,12991.95
10/04/18,13042.3
10/03/18,13118.55
10/02/18,13106.01
10/01/18,13125.35
09/28/18,13082.52
09/27/18,13105.72
09/26/18,13101.96
09/25/18,13160.6
09/24/18,13162.05
09/21/18,13236.44
09/20/18,13225.11
09/19/18,13121.97
09/18/18,13091.98
09/17/18,13031.91
09/14/18,13050.52
09/13/18,13034.61
09/12/18,12990.1
09/11/18,12952.3
09/10/18,12928.67
09/07/18,12911.12
09/06/18,12938.91
09/05/18,12968.55
09/04/18,12969.86
08/31/18,13016.89
08/30/18,13039.93
08/29/18,13132.16
08/28/18,13084.8
08/27/18,13102.03
08/24/18,12999.44
08/23/18,12933.46
08/22/18,12990.51
08/21/18,12996.76
08/20/18,12965.1
08/17/18,12908.26
08/16/18,12841.28
08/15/18,12723.09
08/14/18,12835.31
08/13/18,12763.66
08/10/18,12843.49
08/09/18,12956.66
08/08/18,12987.91
08/07/18,12999.59
08/06/18,12964.27
08/03/18,12953.34
08/02/18,12898.07
08/01/18,12902.39
07/31/18,12963.28
07/30/18,12903.43
07/27/18,12921.34
07/26/18,12953.39
07/25/18,12933.63
07/24/18,12847.49
07/23/18,12794.05
07/20/18,12789.91
07/19/18,12786.48
07/18/18,12823.23
07/17/18,12779.22
07/16/18,12748.78
07/13/18,12769.5
07/12/18,12761.46
07/11/18,12681.59
07/10/18,12814.64
07/09/18,12776.92
07/06/18,12664.88
07/05/18,12585.21
