Time,EA19,JPN,OECD,POL,USA
1999-07,9.8,4.8,6.687822,13.5,4.3
1999-08,9.7,4.7,6.616466,13.8,4.2
1999-09,9.6,4.6,6.579609,14.2,4.2
1999-10,9.6,4.6,6.522087,14.5,4.1
1999-11,9.5,4.6,6.453827,14.8,4.1
1999-12,9.4,4.7,6.436696,15.1,4
2000-01,9.4,4.7,6.379081,15.5,4
2000-02,9.3,4.9,6.390641,15.8,4.1
2000-03,9.2,4.9,6.333388,16.1,4
2000-04,9.1,4.8,6.213278,16.2,3.8
2000-05,9,4.6,6.2216,16.3,4
2000-06,8.9,4.7,6.169049,16.1,4
2000-07,8.8,4.7,6.13593,16,4
2000-08,8.8,4.6,6.154949,15.9,4.1
2000-09,8.7,4.7,6.098458,16,3.9
2000-10,8.6,4.7,6.024032,16.2,3.9
2000-11,8.5,4.7,6.04043,16.5,3.9
2000-12,8.4,4.8,6.025249,16.8,3.9
2001-01,8.3,4.8,6.1454,17.1,4.2
2001-02,8.3,4.7,6.161237,17.4,4.2
2001-03,8.3,4.8,6.157006,17.7,4.3
2001-04,8.3,4.8,6.186483,18.1,4.4
2001-05,8.3,4.9,6.209116,18.4,4.3
2001-06,8.3,5,6.268229,18.5,4.5
2001-07,8.3,5,6.354374,18.4,4.6
2001-08,8.3,5.1,6.454245,18.4,4.9
2001-09,8.3,5.3,6.492809,18.6,5
2001-10,8.3,5.3,6.679997,18.8,5.3
2001-11,8.4,5.4,6.755757,19.1,5.5
2001-12,8.4,5.4,6.837184,19.2,5.7
2002-01,8.4,5.2,6.823492,19.4,5.7
2002-02,8.5,5.3,6.836099,19.4,5.7
2002-03,8.5,5.3,6.844407,19.6,5.7
2002-04,8.6,5.3,6.914741,19.9,5.9
2002-05,8.6,5.4,6.88403,19.8,5.8
2002-06,8.6,5.5,6.907519,20.2,5.8
2002-07,8.6,5.4,6.936462,20.4,5.8
2002-08,8.7,5.5,6.952991,20.5,5.7
2002-09,8.7,5.4,6.942472,20.5,5.7
2002-10,8.8,5.4,6.954869,20.4,5.7
2002-11,8.8,5.2,6.985452,20.3,5.9
2002-12,8.8,5.4,7.014837,20.1,6
2003-01,9,5.4,7.029788,19.9,5.8
2003-02,9,5.2,7.010743,19.8,5.9
2003-03,9,5.4,7.039121,19.6,5.9
2003-04,9,5.5,7.08356,19.5,6
2003-05,9,5.4,7.124061,19.5,6.1
2003-06,9.1,5.4,7.186666,19.7,6.3
2003-07,9.1,5.2,7.114099,19.9,6.2
2003-08,9.1,5.1,7.082974,20,6.1
2003-09,9.1,5.2,7.092927,19.9,6.1
2003-10,9.1,5.1,7.027053,19.8,6
2003-11,9.1,5.1,6.999768,19.7,5.8
2003-12,9.1,4.9,6.939197,19.8,5.7
2004-01,9.2,4.9,7.029234,20,5.7
2004-02,9.2,5,7.015315,19.9,5.6
2004-03,9.3,4.8,7.052094,19.8,5.8
2004-04,9.3,4.8,6.956388,19.5,5.6
2004-05,9.3,4.7,6.942962,19.3,5.6
2004-06,9.2,4.7,6.938756,19.2,5.6
2004-07,9.2,4.9,6.917583,19,5.5
2004-08,9.2,4.8,6.887512,18.9,5.4
2004-09,9.3,4.6,6.862803,18.7,5.4
2004-10,9.3,4.6,6.854199,18.6,5.5
2004-11,9.3,4.5,6.821281,18.4,5.4
2004-12,9.2,4.5,6.795577,18.3,5.4
2005-01,9.2,4.5,6.70487,18.1,5.3
2005-02,9.2,4.6,6.737755,18.2,5.4
2005-03,9.2,4.5,6.688385,18.3,5.2
2005-04,9.2,4.5,6.710073,18.4,5.2
2005-05,9.2,4.5,6.69404,18.4,5.1
2005-06,9.2,4.3,6.645145,18.4,5
2005-07,9.1,4.4,6.590583,18.2,5
2005-08,9,4.3,6.511551,18,4.9
2005-09,9,4.2,6.558461,17.8,5
2005-10,9,4.4,6.568909,17.5,5
2005-11,8.9,4.5,6.511518,17.1,5
2005-12,8.9,4.4,6.422072,16.6,4.9
2006-01,8.8,4.4,6.336645,16,4.7
2006-02,8.8,4.1,6.30857,15.4,4.8
2006-03,8.7,4.1,6.239202,15.1,4.7
2006-04,8.6,4.1,6.192327,14.7,4.7
2006-05,8.5,4.1,6.086667,14.4,4.6
2006-06,8.4,4.2,6.094511,14,4.6
2006-07,8.3,4.1,6.081165,13.8,4.7
2006-08,8.2,4.1,6.057258,13.5,4.7
2006-09,8.2,4.1,5.958884,13.2,4.5
2006-10,8.1,4.1,5.879436,12.9,4.4
2006-11,8.1,4,5.863094,12.4,4.5
2006-12,7.9,4,5.802341,11.9,4.4
2007-01,7.9,4,5.818042,11.3,4.6
2007-02,7.8,4,5.743546,10.7,4.5
2007-03,7.7,4,5.681886,10.3,4.4
2007-04,7.6,3.8,5.618223,10,4.5
2007-05,7.5,3.8,5.556931,9.7,4.4
2007-06,7.5,3.7,5.541125,9.5,4.6
2007-07,7.5,3.6,5.591453,9.4,4.7
2007-08,7.5,3.7,5.583957,9.3,4.6
2007-09,7.4,3.9,5.594632,9.2,4.7
2007-10,7.3,4,5.598733,8.9,4.7
2007-11,7.3,3.8,5.558189,8.7,4.7
2007-12,7.3,3.7,5.610505,8.3,5
2008-01,7.3,3.9,5.602526,7.8,5
2008-02,7.3,4,5.570485,7.5,4.9
2008-03,7.3,3.8,5.61174,7.3,5.1
2008-04,7.4,3.9,5.579597,7.2,5
2008-05,7.4,4,5.727067,7.2,5.4
2008-06,7.5,4,5.813682,7,5.6
2008-07,7.5,3.9,5.91099,6.9,5.8
2008-08,7.6,4.1,6.027706,6.8,6.1
2008-09,7.7,4,6.084565,6.7,6.1
2008-10,7.8,3.8,6.247601,6.6,6.5
2008-11,8,4,6.553081,6.8,6.8
2008-12,8.3,4.4,6.864109,7,7.3
2009-01,8.7,4.3,7.188473,7.4,7.8
2009-02,9,4.6,7.563876,7.7,8.3
2009-03,9.3,4.8,7.843204,7.9,8.7
2009-04,9.5,5,8.029326,7.9,9
2009-05,9.6,5.1,8.242633,7.9,9.4
2009-06,9.7,5.2,8.295117,8,9.5
2009-07,9.8,5.5,8.361074,8.2,9.5
2009-08,9.9,5.4,8.427925,8.3,9.6
2009-09,10,5.4,8.491095,8.4,9.8
2009-10,10.1,5.2,8.506544,8.4,10
2009-11,10.1,5.2,8.463445,8.6,9.9
2009-12,10.1,5.2,8.448453,9,9.9
2010-01,10.2,5,8.534305,9.9,9.8
2010-02,10.2,5,8.510836,9.9,9.8
2010-03,10.2,5.1,8.489238,9.9,9.9
2010-04,10.3,5.1,8.518193,9.7,9.9
2010-05,10.3,5.1,8.38412,9.7,9.6
2010-06,10.3,5.2,8.284792,9.7,9.4
2010-07,10.2,5,8.275345,9.6,9.4
2010-08,10.2,5.1,8.261134,9.5,9.5
2010-09,10.2,5.1,8.27558,9.5,9.5
2010-10,10.2,5.1,8.274733,9.5,9.4
2010-11,10.1,5,8.294064,9.4,9.8
2010-12,10.1,4.9,8.163585,9.5,9.3
2011-01,10.1,4.8,8.066678,9.4,9.1
2011-02,10,4.7,7.982167,9.4,9
2011-03,10,4.7,7.938476,9.5,9
2011-04,10,4.7,7.948882,9.6,9.1
2011-05,10,4.6,7.965235,9.6,9
2011-06,10,4.7,8.005858,9.6,9.1
2011-07,10.2,4.7,7.983625,9.7,9
2011-08,10.2,4.5,7.979278,9.7,9
2011-09,10.4,4.2,7.99969,9.8,9
2011-10,10.5,4.4,7.953183,9.9,8.8
2011-11,10.6,4.5,7.964352,9.9,8.6
2011-12,10.7,4.5,7.944529,9.9,8.5
2012-01,10.8,4.5,7.897602,9.9,8.3
2012-02,10.9,4.5,7.966892,9.9,8.3
2012-03,11.1,4.5,7.962151,9.9,8.2
2012-04,11.2,4.5,7.953614,10,8.2
2012-05,11.3,4.4,7.970382,10.1,8.2
2012-06,11.4,4.3,7.962369,10.2,8.2
2012-07,11.5,4.3,7.97555,10.2,8.2
2012-08,11.5,4.2,7.96487,10.3,8.1
2012-09,11.6,4.2,7.933504,10.3,7.8
2012-10,11.7,4.1,7.978255,10.3,7.8
2012-11,11.8,4.1,8.010348,10.3,7.7
2012-12,11.9,4.3,8.068662,10.4,7.9
2013-01,12,4.2,8.152555,10.5,8
2013-02,12,4.3,8.040793,10.6,7.7
2013-03,12,4.1,8.00596,10.6,7.5
2013-04,12.1,4.1,8.021402,10.6,7.6
2013-05,12.1,4.1,7.986765,10.6,7.5
2013-06,12.1,3.9,7.96305,10.5,7.5
2013-07,12.1,3.8,7.878362,10.4,7.3
2013-08,12,4.1,7.880812,10.3,7.2
2013-09,12,3.9,7.850794,10.2,7.2
2013-10,12,4,7.792453,10,7.2
2013-11,11.9,3.9,7.678944,10,6.9
2013-12,11.9,3.7,7.592577,10,6.7
2014-01,11.9,3.7,7.592447,10,6.6
2014-02,11.9,3.6,7.583971,9.9,6.7
2014-03,11.8,3.7,7.593859,9.7,6.7
2014-04,11.7,3.6,7.423477,9.5,6.2
2014-05,11.7,3.6,7.431067,9.2,6.3
2014-06,11.5,3.7,7.336621,9,6.1
2014-07,11.6,3.7,7.402077,8.8,6.2
2014-08,11.5,3.5,7.304168,8.5,6.1
2014-09,11.5,3.5,7.254571,8.4,5.9
2014-10,11.5,3.6,7.190964,8.3,5.7
2014-11,11.5,3.4,7.181801,8.3,5.8
2014-12,11.3,3.4,7.017241,8.2,5.6
2015-01,11.3,3.6,7.049356,8.2,5.7
2015-02,11.2,3.5,6.974141,8.1,5.5
2015-03,11.2,3.4,6.912184,7.9,5.4
2015-04,11.1,3.4,6.905893,7.7,5.4
2015-05,11.1,3.3,6.937231,7.6,5.6
2015-06,11,3.4,6.84363,7.5,5.3
2015-07,10.8,3.3,6.760333,7.4,5.2
2015-08,10.7,3.4,6.674707,7.3,5.1
2015-09,10.6,3.4,6.621984,7.2,5
2015-10,10.6,3.2,6.60743,7.1,5
2015-11,10.5,3.3,6.549744,7,5.1
2015-12,10.4,3.3,6.531935,6.9,5
2016-01,10.3,3.2,6.45332,6.7,4.9
2016-02,10.3,3.3,6.460706,6.6,4.9
2016-03,10.2,3.2,6.42168,6.5,5
2016-04,10.2,3.2,6.398389,6.4,5
2016-05,10.2,3.2,6.359488,6.3,4.8
2016-06,10.1,3.1,6.37656,6.3,4.9
2016-07,10,3,6.310994,6.2,4.8
2016-08,9.9,3.1,6.316889,6.1,4.9
2016-09,9.9,3,6.318622,6,5
2016-10,9.8,3,6.252359,5.8,4.9
2016-11,9.8,3,6.185585,5.6,4.7
2016-12,9.6,3,6.155523,5.4,4.7
2017-01,9.6,3,6.120611,5.3,4.7
2017-02,9.4,2.9,6.042757,5.2,4.7
2017-03,9.4,2.8,5.942935,5.1,4.4
2017-04,9.2,2.8,5.878787,5.2,4.4
2017-05,9.2,3.1,5.878268,5.2,4.4
2017-06,9.1,2.8,5.765724,5,4.3
2017-07,9.1,2.8,5.737196,4.9,4.3
2017-08,9,2.7,5.72165,4.8,4.4
2017-09,8.9,2.8,5.646537,4.7,4.2
2017-10,8.8,2.7,5.557296,4.5,4.1
2017-11,8.7,2.7,5.547085,4.5,4.2
2017-12,8.6,2.7,5.473944,4.3,4.1
2018-01,8.6,2.4,5.436316,4.2,4.1
2018-02,8.5,2.5,5.411543,4.1,4.1
2018-03,8.5,2.5,5.367318,4,4
2018-04,8.4,2.5,5.349547,3.9,3.9
2018-05,8.2,2.3,5.245351,3.8,3.8
2018-06,8.2,2.5,5.347631,3.8,4
